Method,Parameter_Name,Parameter_Type,Parent,Children,Same_As_Parent,Description,Reference_of_documentation,Used_For,Used_By?,Informal_Propositions,Rules_Name,Rules_Description,Calling_Parameters,Calling_Param_Types,Supertypes,Called_from_x_as,Called_element_from_x
IfcActor,"[GlobalId, OwnerHistory, Name, Description, ObjectType, TheActor]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcActorSelect FIX]",IfcObject,"[IfcOccupant]",FALSE,"The IfcActor defines all actors or human agents involved in a project during its full life cycle. It facilitates the use of person and organization definitions in the resource part of the IFC object model. This includes name, address, telecommunication addresses, and roles.",5.1.3.1,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, IsActingUpon]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToActor @RelatingActor S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject]","[]","[]"
IfcComplexPropertyTemplate,"[GlobalId, OwnerHistory, Name, Description, UsageName, TemplateType, HasPropertyTemplates]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcComplexPropertyTemplateTypeEnum ? FIX, IfcPropertyTemplate S[1:?]?]",IfcPropertyTemplate,NULL,FALSE,"The IfcComplexPropertyTemplate defines the template for all complex properties, either the IfcComplexProperty's, or the IfcPhysicalComplexQuantity's. The individual complex property templates are interpreted according to their Name attribute and and optional UsageName attribute.",5.1.3.2,"","",NULL,"[UniquePropertyNames, NoSelfReference]","[Every individual IfcPropertyTemplate within the complex property template shall have a unique Name attribute value., No description.]","[HasContext, HasAssociations, PartOfComplexTemplate, PartOfPsetTemplate]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcComplexPropertyTemplate @HasPropertyTemplates S[0:?], IfcPropertySetTemplate @HasPropertyTemplates S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertyTemplateDefinition, IfcPropertyTemplate]","[PartOfComplexTemplate]","[HasPropertyTemplates ?]"
IfcContext,"[GlobalId, OwnerHistory, Name, Description, ObjectType, LongName, Phase, RepresentationContexts, UnitsInContext]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcLabel ? FIX, IfcRepresentationContext S[1:?]?, IfcUnitAssignment ?]",IfcObjectDefinition,"[IfcProject, IfcProjectLibrary]",TRUE,"IfcContext is the generalization of a project context in which objects, type objects, property sets, and properties are defined. The IfcProject as subtype of IfcContext provides the context for all information on a construction project, it may include one or several IfcProjectLibrary's as subtype of IfcContext to register the included libraries for the project. A library of products that is referenced is declared within the IfcProjectLibrary as the context of that library.",5.1.3.3,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDefinedBy, Declares]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelDeclares @RelatingContext S[0:?]]","[IfcRoot, IfcObjectDefinition]","[]","[]"
IfcControl,"[GlobalId, OwnerHistory, Name, Description, ObjectType, Identification]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcIdentifier ? FIX]",IfcObject,"[IfcActionRequest, IfcCostItem, IfcCostSchedule, IfcPerformanceHistory, IfcPermit, IfcProjectOrder, IfcWorkCalendar, IfcWorkControl]",FALSE,"IfcControl is the abstract generalization of all concepts that control or constrain the utilization of products, processes, or resources in general. It can be seen as a regulation, cost schedule, request or order, or other requirements applied to a product, process or resource whose requirements and provisions must be fulfilled.",5.1.3.4,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, Controls]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToControl @RelatingControl S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject]","[]","[]"
IfcGroup,"[GlobalId, OwnerHistory, Name, Description, ObjectType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX]",IfcObject,"[IfcAsset, IfcInventory, IfcStructuralLoadGroup, IfcStructuralResultGroup, IfcSystem]",TRUE,"IfcGroup is an generalization of any arbitrary group. A group is a logical collection of objects. It does not have its own position, nor can it hold its own shape representation. Therefore a group is an aggregation under some non-geometrical / topological grouping aspects.",5.1.3.5,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, IsGroupedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToGroup @RelatingGroup S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject]","[]","[]"
IfcObject,"[GlobalId, OwnerHistory, Name, Description, ObjectType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX]",IfcObjectDefinition,"[IfcActor, IfcControl, IfcGroup, IfcProcess, IfcProduct, IfcResource]",FALSE,"An IfcObject is the generalization of any semantically treated thing or process. Objects are things as they appear - i.e. occurrences.",5.1.3.6,"","","1. A partial type assignment, i.e. the inverse attribute IsDeclaredBy, or Declares shall only be used, if the object is part of a decomposition, i.e. if either IsDecomposedBy, or Decomposes is exerted.","[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?]]","[IfcRoot, IfcObjectDefinition]","[]","[]"
IfcObjectDefinition,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcRoot,"[IfcContext, IfcObject, IfcTypeObject]",TRUE,"An IfcObjectDefinition is the generalization of any semantically treated thing or process, either being a type or an occurrences.",5.1.3.7,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?]]","[IfcRoot]","[]","[]"
IfcPreDefinedPropertySet,"[GlobalId, OwnerHistory, Name, Description]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX]",IfcPropertySetDefinition,"[IfcDoorLiningProperties, IfcDoorPanelProperties, IfcPermeableCoveringProperties, IfcReinforcementDefinitionProperties, IfcWindowLiningProperties, IfcWindowPanelProperties]",TRUE,"IfcPreDefinedPropertySet is a generalization of all statically defined property sets that are assigned to an object or type object. The statically or pre-defined property sets are entities with a fixed list of attributes having particular defined data types.",5.1.3.8,"","",NULL,"[]","[]","[HasContext, HasAssociations, DefinesType, IsDefinedBy, DefinesOccurrence]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcTypeObject @HasPropertySets S[0:?], IfcRelDefinesByTemplate @RelatedPropertySets S[0:?], IfcRelDefinesByProperties @RelatingPropertyDefinition S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertySetDefinition]","[]","[]"
IfcProcess,"[GlobalId, OwnerHistory, Name, Description, ObjectType, Identification, LongDescription]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcIdentifier ? FIX, IfcText ? FIX]",IfcObject,"[IfcEvent, IfcProcedure, IfcTask]",FALSE,"IfcProcess is defined as one individual activity or event, that is ordered in time, that has sequence relationships with other processes, which transforms input in output, and may connect to other other processes through input output relationships. An IfcProcess can be an activity (or task), or an event.",5.1.3.9,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, IsPredecessorTo, IsSuccessorFrom, OperatesOn]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelSequence @RelatingProcess S[0:?], IfcRelSequence @RelatedProcess S[0:?], IfcRelAssignsToProcess @RelatingProcess S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject]","[]","[]"
IfcProduct,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?]",IfcObject,"[IfcAnnotation, IfcElement, IfcGrid, IfcPort, IfcProxy, IfcSpatialElement, IfcStructuralActivity, IfcStructuralItem]",FALSE,"The IfcProduct is an abstract representation of any object that relates to a geometric or spatial context. An IfcProduct occurs at a specific location in space if it has a geometric representation assigned.",5.1.3.10,"","",NULL,"[PlacementForShapeRepresentation]","[If a Representation is given being an IfcProductDefinitionShape; then also an ObjectPlacement has to be given. The ObjectPlacement defines the object coordinate system in which the geometric representation items of the IfcProductDefinitionShape are founded.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject]","[PlacesObject, ShapeOfProduct]","[ObjectPlacement ?, Representation ?]"
