Type,Definition_Type,Definition_List,Description,Reference_of_documentation,Formal_Propositions
IfcPropertySetDefinitionSet,Representation/Sequence,"[IfcPropertySetDefinition*]","The purpose of this defined type is enabling the assignment of a set of IfcPropertySetDefinition's to an IfcRelDefinesByProperties relationship.\n The sole purpose of this defined type is to enable an upward compatible enhancement of the objectified relationship IfcRelDefinesByProperties in order to assign multiple IfcPropertySet's, IfcElementQuantity's or other subtypes of IfcPropertySetDefinition to objects using a single instance of IfcRelDefinesByProperties.",5.1.2.1
IfcComplexPropertyTemplateTypeEnum,Enumeration,"[P_COMPLEX, Q_COMPLEX]","This enumeration defines the applicable subtype of instances of IfcComplexProperty or IfcPhysicalComplexQuantity that may be created and defined by an IfcComplexPropertyTemplate.",5.1.2.2
IfcObjectTypeEnum,Enumeration,"[PRODUCT, PROCESS, CONTROL, RESOURCE, ACTOR, GROUP, PROJECT, NOTDEFINED]","This enumeration defines the applicable object categories. Attached to an object, it indicates to which subtype of IfcObject the entity referencing it would otherwise comply with.",5.1.2.3
IfcPropertySetTemplateTypeEnum,Enumeration,"[PSET_TYPEDRIVENONLY, PSET_TYPEDRIVENOVERRIDE, PSET_OCCURRENCEDRIVEN, PSET_PERFORMANCEDRIVEN, QTO_TYPEDRIVENONLY, QTO_TYPEDRIVENOVERRIDE, QTO_OCCURRENCEDRIVEN, NOTDEFINED]","This enumeration defines the general applicability of instances of IfcPropertySet, or IfcElementQuantity defined by this IfcPropertySetTemplate, to subtypes of IfcObjectDefinition.",5.1.2.4
IfcSimplePropertyTemplateTypeEnum,Enumeration,"[P_SINGLEVALUE, P_ENUMERATEDVALUE, P_BOUNDEDVALUE, P_LISTVALUE, P_TABLEVALUE, P_REFERENCEVALUE, Q_LENGTH, Q_AREA, Q_VOLUME, Q_COUNT, Q_WEIGHT, Q_TIME]","This enumeration defines the correct subtype of instances of IfcSimpleProperty or IfcPhysicalSimpleQuantity that are created and are assigned to this IfcSimplePropertyTemplate. It also determines how the attributes of IfcPropertyTemplate, PrimaryUnit, SecondaryUnit, Enumerators, PrimaryDataType, SecondaryDataType, should be used.",5.1.2.5
IfcDefinitionSelect,Select,"[IfcObjectDefinition, IfcPropertyDefinition]","IfcDefinitionSelect provides the option to either select an object or type object IfcObjectDefinition, or a property set template or property set, IfcPropertyDefinition.",5.1.2.6
IfcProcessSelect,Select,"[IfcProcess, IfcTypeProcess]","IfcProcessSelect provides the option to either select a process or activity occurrence, IfcProcess, or a process or activity type, IfcTypeProcess.",5.1.2.7
IfcProductSelect,Select,"[IfcProduct, IfcTypeProduct]","IfcProductSelect provides the option to either select a product occurrence, IfcProduct, or a product type, IfcTypeProduct.",5.1.2.8
IfcPropertySetDefinitionSelect,Select,"[IfcPropertySetDefinitionSet, IfcPropertySetDefinition]","The purpose of this select type is enabling th assignment of a set of IfcPropertySet's using the relationship IfcRelDefinesByProperties relationship in addition to a single IfcPropertySet.",5.1.2.9
IfcResourceSelect,Select,"[IfcResource, IfcTypeResource]","IfcResourceSelect provides the option to either select a resource occurrence, IfcResource, or a resource type, IfcTypeResource.",5.1.2.10
IfcPerformanceHistoryTypeEnum,Enumeration,"[USERDEFINED, NOTDEFINED]","This enumeration is used to identify the primary purpose of performance history.",5.2.2.1
IfcEventTriggerTypeEnum,Enumeration,"[EVENTRULE, EVENTMESSAGE, EVENTTIME, EVENTCOMPLEX, USERDEFINED, NOTDEFINED]","The IfcEventTriggerTypeEnum defines the range of different types of event trigger that can be specified. The definition of event trigger types has been adopted from the Business Process Modeling Notation (BPMN), which is also used in the Information Delivery Manual (IDM) for defining business processes. More detailed information about the use of event trigger types can be found in these specifications.",5.3.2.1
IfcEventTypeEnum,Enumeration,"[STARTEVENT, ENDEVENT, INTERMEDIATEEVENT, USERDEFINED, NOTDEFINED]","The IfcEventTypeEnum defines the range of different types of event that can be specified.",5.3.2.2
IfcProcedureTypeEnum,Enumeration,"[ADVICE_CAUTION, ADVICE_NOTICE, ADVICE_WARNING, CALIBRATION, DIAGNOSTIC, SHUTDOWN, STARTUP, USERDEFINED, NOTDEFINED]","The IfcProcedureTypeEnum defines the range of different types of procedure that can be specified.",5.3.2.3
IfcSequenceEnum,Enumeration,"[START_START, START_FINISH, FINISH_START, FINISH_FINISH, USERDEFINED, NOTDEFINED]","IfcSequenceEnum is an enumeration that defines the different ways in which a time lag is applied to a sequence between two processes.",5.3.2.4
IfcTaskTypeEnum,Enumeration,"[ATTENDANCE, CONSTRUCTION, DEMOLITION, DISMANTLE, DISPOSAL, INSTALLATION, LOGISTIC, MAINTENANCE, MOVE, OPERATION, REMOVAL, RENOVATION, USERDEFINED, NOTDEFINED]","The IfcTaskTypeEnum defines the range of different types of task that can be specified.",5.3.2.5
IfcWorkCalendarTypeEnum,Enumeration,"[FIRSTSHIFT, SECONDSHIFT, THIRDSHIFT, USERDEFINED, NOTDEFINED]","An IfcWorkCalendarTypeEnum is an enumeration data type that specifies the types of work calendar from which the relevant control can be selected. If given it should help to identify base calendars.",5.3.2.6
IfcWorkPlanTypeEnum,Enumeration,"[ACTUAL, BASELINE, PLANNED, USERDEFINED, NOTDEFINED]","An IfcWorkPlanTypeEnum is an enumeration data type that specifies the types of work plan from which the relevant control can be selected.",5.3.2.7
IfcWorkScheduleTypeEnum,Enumeration,"[ACTUAL, BASELINE, PLANNED, USERDEFINED, NOTDEFINED]","An IfcWorkScheduleTypeEnum is an enumeration data type that specifies the types of work schedule from which the relevant control can be selected.",5.3.2.8
IfcAssemblyPlaceEnum,Enumeration,"[SITE, FACTORY, NOTDEFINED]","This enumeration defines where the assembly is intended to take place, either in a factory or on the building site.",5.4.2.1
IfcElementAssemblyTypeEnum,Enumeration,"[ACCESSORY_ASSEMBLY, ARCH, BEAM_GRID, BRACED_FRAME, GIRDER, REINFORCEMENT_UNIT, RIGID_FRAME, SLAB_FIELD, TRUSS, USERDEFINED, NOTDEFINED]","This enumeration defines the basic configuration types for element assemblies.",5.4.2.2
IfcElementCompositionEnum,Enumeration,"[COMPLEX, ELEMENT, PARTIAL]","This enumeration indicates the composition of a spatial structure element or proxy.",5.4.2.3
IfcExternalSpatialElementTypeEnum,Enumeration,"[EXTERNAL, EXTERNAL_EARTH, EXTERNAL_WATER, EXTERNAL_FIRE, USERDEFINED, NOTDEFINED]","This enumeration defines the different types of external spatial elements.",5.4.2.4
IfcGeographicElementTypeEnum,Enumeration,"[TERRAIN, USERDEFINED, NOTDEFINED]","This enumeration defines the different predefined types of geographic elements that can further specify an IfcGeographicElement or an IfcGeographicElementType.",5.4.2.5
IfcGridTypeEnum,Enumeration,"[RECTANGULAR, RADIAL, TRIANGULAR, IRREGULAR, USERDEFINED, NOTDEFINED]","This enumeration defines the different layout types of grids. Restriction on the correct use of IfcGrid instantiations may be imposed depending on the value of the PredefinedType being IfcGridTypeEnum.",5.4.2.6
IfcInternalOrExternalEnum,Enumeration,"[INTERNAL, EXTERNAL, EXTERNAL_EARTH, EXTERNAL_WATER, EXTERNAL_FIRE, NOTDEFINED]","This enumeration defines the different types of space boundaries in terms of either being inside the building or outside the building.",5.4.2.7
IfcOpeningElementTypeEnum,Enumeration,"[OPENING, RECESS, USERDEFINED, NOTDEFINED]","This enumeration defines the basic types for opening elements.",5.4.2.8
IfcPhysicalOrVirtualEnum,Enumeration,"[PHYSICAL, VIRTUAL, NOTDEFINED]","This enumeration defines the different types of space boundaries in terms of its physical manifestation. A space boundary can either be physically dividing or can be a virtual divider.",5.4.2.9
IfcProjectionElementTypeEnum,Enumeration,"[USERDEFINED, NOTDEFINED]","This enumeration defines the basic types of projection elements.",5.4.2.10
IfcSpaceTypeEnum,Enumeration,"[SPACE, PARKING, GFA, INTERNAL, EXTERNAL, USERDEFINED, NOTDEFINED]","his enumeration defines the available generic types for IfcSpace and IfcSpaceType.",5.4.2.11
IfcSpatialZoneTypeEnum,Enumeration,"[CONSTRUCTION, FIRESAFETY, LIGHTING, OCCUPANCY, SECURITY, THERMAL, TRANSPORT, VENTILATION, USERDEFINED, NOTDEFINED]","This enumeration defines the range of different types of spatial zones that can further specify an IfcSpatialZoneTypeEnum.",5.4.2.12
IfcTransportElementTypeEnum,Enumeration,"[ELEVATOR, ESCALATOR, MOVINGWALKWAY, CRANEWAY, LIFTINGGEAR, USERDEFINED, NOTDEFINED]","This enumeration is used to identify fixedtransport element types.",5.4.2.13
IfcSpaceBoundarySelect,Select,"[IfcSpace, IfcExternalSpatialElement]","The IfcSpaceBoundarySelect selects either an internal space for internal or external space boundaries, or an external spatial element for external space boundaries at the outer envelop of the building.",5.4.2.14
IfcBeamTypeEnum,Enumeration,"[BEAM, JOIST, HOLLOWCORE, LINTEL, SPANDREL, T_BEAM, USERDEFINED, NOTDEFINED]","This enumeration defines the different predefined types of beams that can further specify an IfcBeam or IfcBeamType.",6.1.2.1
IfcBuildingElementProxyTypeEnum,Enumeration,"[COMPLEX, ELEMENT, PARTIAL, PROVISIONFORVOID, PROVISIONFORSPACE, USERDEFINED, NOTDEFINED]","This enumeration defines the available generic types for IfcBuildingElementProxy or IfcBuildingElementProxyType.",6.1.2.2
IfcBuildingSystemTypeEnum,Enumeration,"[FENESTRATION, FOUNDATION, LOADBEARING, OUTERSHELL, SHADING, TRANSPORT, USERDEFINED, NOTDEFINED]","This enumeration identifies different types of building systems.",6.1.2.3
IfcChimneyTypeEnum,Enumeration,"[USERDEFINED, NOTDEFINED]","This enumeration defines the valid types of chimneys that can be predefined using the enumeration values.",6.1.2.4
IfcColumnTypeEnum,Enumeration,"[COLUMN, PILASTER, USERDEFINED, NOTDEFINED]","This enumeration defines the different predefined types of columns that can further specify an IfcColumn or IfcColumnType.",6.1.2.5
IfcConnectionTypeEnum,Enumeration,"[ATPATH, ATSTART, ATEND, NOTDEFINED]","This enumeration defines the different ways how path based elements (such as IfcWallStandardCase) can connect.",6.1.2.6
IfcCoveringTypeEnum,Enumeration,"[CEILING, FLOORING, CLADDING, ROOFING, MOLDING, SKIRTINGBOARD, INSULATION, MEMBRANE, SLEEVING, WRAPPING, USERDEFINED, NOTDEFINED]","This enumeration defines the range of different types of covering that can further specify an IfcCovering or an IfcCoveringType.",6.1.2.7
IfcCurtainWallTypeEnum,Enumeration,"[USERDEFINED, NOTDEFINED]","This enumeration defines the valid types of curtain wall that can be predefined using the enumeration values.",6.1.2.8
IfcDoorTypeEnum,Enumeration,"[DOOR, GATE, TRAPDOOR, USERDEFINED, NOTDEFINED]","This enumeration defines the different predefined types of an IfcDoor or IfcDoorType object.",6.1.2.9
IfcDoorTypeOperationEnum,Enumeration,"[SINGLE_SWING_LEFT, SINGLE_SWING_RIGHT, DOUBLE_DOOR_SINGLE_SWING, DOUBLE_DOOR_SINGLE_SWING_OPPOSITE_LEFT, DOUBLE_DOOR_SINGLE_SWING_OPPOSITE_RIGHT, DOUBLE_SWING_LEFT, DOUBLE_SWING_RIGHT, DOUBLE_DOOR_DOUBLE_SWING, SLIDING_TO_LEFT, SLIDING_TO_RIGHT, DOUBLE_DOOR_SLIDING, FOLDING_TO_LEFT, FOLDING_TO_RIGHT, DOUBLE_DOOR_FOLDING, REVOLVING, ROLLINGUP, SWING_FIXED_LEFT, SWING_FIXED_RIGHT, USERDEFINED, NOTDEFINED]","This enumeration defines the basic ways to describe how an IfcDoor or IfcDoorType operate, as shown in Figure 1. It combines the partitioning of the access barrier into single or multiple REMOVE{door} panels and the operation types of those panels.\n In the most common case of swinging doors the IfcDoorTypeOperationEnum defined the hinge side (left hung or right hung) and the opening direction (opening to the left, opening to the right). Whether the door opens inwards or outwards is determined by the local coordinate system of the IfcDoorREMOVE{, or IfcDoorStandardCase.}",6.1.2.10
IfcMemberTypeEnum,Enumeration,"[BRACE, CHORD, COLLAR, MEMBER, MULLION, PLATE, POST, PURLIN, RAFTER, STRINGER, STRUT, STUD, USERDEFINED, NOTDEFINED]","This enumeration defines the different types of linear elements an IfcMember or IfcMemberType object can fulfill.",6.1.2.11
IfcPlateTypeEnum,Enumeration,"[CURTAIN_PANEL, SHEET, USERDEFINED, NOTDEFINED]","This enumeration defines the different types of planar elements an IfcPlate or IfcPlateType object can fulfill.",6.1.2.12
IfcRailingTypeEnum,Enumeration,"[HANDRAIL, GUARDRAIL, BALUSTRADE, USERDEFINED, NOTDEFINED]","This enumeration defines the different types of IfcRailing or IfcRailingType that can be predefined using the enumeration values.",6.1.2.13
IfcRampFlightTypeEnum,Enumeration,"[STRIAGHT, SPIRAL, USERDEFINED, NOTDEFINED]","This enumeration defines the different types an IfcRampFlight or IfcRampFlightType object can fulfill.",6.1.2.14
IfcRampTypeEnum,Enumeration,"[STRAIGHT_RUN_RAMP, TWO_STRAIGHT_RUN_RAMP, QUARTER_TURN_RAMP, TWO_QUARTER_TURN_RAMP, HALF_TURN_RAMP, SPIRAL_RAMP, USERDEFINED, NOTDEFINED]","This enumeration defines the basic configuration of the ramp type in terms of the number and shape of ramp flights, as shown in Figure 190. The type also distinguished turns by landings. In addition the subdivision of the straight and changing direction ramps is included. The ramp configurations are given for ramps without and with one and two landings.\n Ramps which are subdivided into more than two landings, or ramps with non-regular shapes are to be defined with type being USERDEFINED or NOTDEFINED.",6.1.2.15
IfcRoofTypeEnum,Enumeration,"[FLAT_ROOF, SHED_ROOF, GABLE_ROOF, HIP_ROOF, HIPPED_GABLE_ROOF, GAMBREL_ROOF, MANSARD_ROOF, BARREL_ROOF, RAINBOW_ROOF, BUTTERFLY_ROOF, PAVILION_ROOF, DOME_ROOF, FREEFORM, USERDEFINED, NOTDEFINED]","This enumeration defines the basic configuration of the roof in terms of the different roof shapes, as illustrated in Figure 191.\n Roofs which are subdivided into more than these basic shapes or roofs with non-regular shapes (free form roofs) have the type FREEFORM.",6.1.2.16
IfcShadingDeviceTypeEnum,Enumeration,"[JALOUSIE, SHUTTER, AWNING, USERDEFINED, NOTDEFINED]","This enumeration defines the valid types of IfcShadingDevice or IfcShadingDeviceType that can be predefined using the enumeration values.",6.1.2.17
IfcSlabTypeEnum,Enumeration,"[FLOOR, ROOF, LANDING, BASESLAB, USERDEFINED, NOTDEFINED]","This enumeration defines the available predefined types of slabs that can further specify an IfcSlab or IfcSlabType.",6.1.2.18
IfcStairFlightTypeEnum,Enumeration,"[STRAIGHT, WINDER, SPIRAL, CURVED, FREEFORM, USERDEFINED, NOTDEFINED]",This enumeration defines the different types of stair flights that can further specify an IfcStairFlight or IfcStairFlightType."",6.1.2.19
IfcStairTypeEnum,Enumeration,"[STRIAGHT_RUN_STAIR, TWO_STRAIGHT_RUN_STAIR, QUARTER_WINDING_STAIR, QUARTER_TURN_STAIR, HALF_WINDING_STAIR, HALF_TURN_STAIR, TWO_QUARTER_WINDING_STAIR, TWO_QUARTER_TURN_STAIR, THREE_QUARTER_WINDING_STAIR, THREE_QUARTER_TURN_STAIR, SPIRAL_STAIR, DOUBLE_RETURN_STAIR, CURVED_RUN_STAIR, TWO_CURVED_RUN_STAIR, USERDEFINED, NOTDEFINED]","This enumeration defines the basic configuration of the stair type in terms of the number of stair flights and the number of landings, as illustrated in Figure 192. The type also distinguished turns by windings or by landings. In addition the subdivision of the straight and changing direction stairs is included. The stair configurations are given for stairs without and with one, two or three landings.\n Stairs which are subdivided into more than three landings, or stairs with non-regular shapes are to be defined with type being USERDEFINED or NOTDEFINED.",6.1.2.20
IfcWallTypeEnum,Enumeration,"[MOVABLE, PARAPET, PARTITIONING, PLUMBINGWALL, SHEAR, SOLIDWALL, STANDARD, POLYGONAL, ELEMENTEDWALL, USERDEFINED, NOTDEFINED]","This enumeration defines the different types of walls that can further specify an IfcWall or IfcWallType.",6.1.2.21
IfcWindowTypeEnum,Enumeration,"[WINDOW, SKYLIGHT, LIGHTDOME, USERDEFINED, NOTDEFINED]","This enumeration defines the different predefined types of windows that can further specify an IfcWindow or IfcWindowType.",6.1.2.22
